,IDENTIFIERS,,,,,CORE TRAIT INFORMATION,,,,,,,,,,,,,,,,,,,,,DATA PROVENANCE,,,,,,,,,,,,,,
ref_no,obsNum,primRef,primRef_URL,secRef,secRef_URL,taxa,life_stage,sex,n_indiv,no_groups,n_measurements_sampled,rate_name,rate_value,rate_min,rate_max,data_type,rate_unit,rate_error,rate_error_type,temp_C,body_length_mm,BM_wet,BM_dry,BM_C,weight_unit,weight_calc,depth_m,depth_min,depth_max,food_type,food_conc,food_conc_unit,method,treatment,locality,lat,lon,source,sourceNotes,verbatimComments,comments
Pata_24823,14,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Candacia columbiae,Adult,Female,NA,NA,NA,RespirationRate,0.6278373418332851,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,6.3,NA,NA,NA,0.20706,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_24898,15,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Eucalanus bungii,Adult,Female,NA,NA,NA,RespirationRate,1.6336234159959868,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,6.3,NA,NA,NA,0.45849,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25087,16,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Neocalanus gracilis,Adult,Female,NA,NA,NA,RespirationRate,15.186976647422895,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,28,NA,NA,NA,0.19227,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25278,17,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Pseudocalanus elongatus,Adult,Unknown,NA,NA,NA,RespirationRate,7.860040567951318,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,11.2,NA,NA,NA,0.005916,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_excl_7599,18,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Sapphirina gemma,Adult,Male,NA,NA,NA,RespirationRate,193.45841784989855,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,30,NA,NA,NA,0.03944,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25376,19,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Tortanus (Boreotortanus) discaudatus,Adult,Unknown,NA,NA,NA,RespirationRate,9.290060852,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,11.2,NA,NA,NA,0.02465,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_24794,20,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Calanus glacialis,Adult,Unknown,NA,NA,NA,RespirationRate,1.0601247655861303,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,5.8,NA,NA,NA,0.26129,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_24825,21,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Candacia columbiae,Adult,Female,NA,NA,NA,RespirationRate,1.0480054090601758,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,6.7,NA,NA,NA,0.2958,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_24900,22,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Eucalanus bungii,Adult,Female,NA,NA,NA,RespirationRate,2.1360779305336437,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,5.8,NA,NA,NA,0.39933,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25001,23,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Labidocera acuta,Adult,Unknown,NA,NA,NA,RespirationRate,34.24412361293402,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,30,NA,NA,NA,0.08381,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25071,24,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Neocalanus cristatus,Unknown,Unknown,NA,NA,NA,RespirationRate,1.365787694,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,12.1,NA,NA,NA,0.7395,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25390,25,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Undinula vulgaris,Adult,Female,NA,NA,NA,RespirationRate,41.67434999078001,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,30,NA,NA,NA,0.10846,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25073,26,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Neocalanus cristatus,Unknown,Unknown,NA,NA,NA,RespirationRate,1.196250614188704,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,11.5,NA,NA,NA,1.58746,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25075,27,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Neocalanus cristatus,Unknown,Unknown,NA,NA,NA,RespirationRate,2.2210386755357123,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,7.8,NA,NA,NA,0.88247,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_24919,28,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Euchaeta marina,Adult,Female,NA,NA,NA,RespirationRate,23.317903642447252,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,28,NA,NA,NA,0.115362,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25105,29,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Neocalanus plumchrus,Unknown,Unknown,NA,NA,NA,RespirationRate,1.7658990573917195,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,10.1,NA,NA,NA,0.41905,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_24921,30,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Euchaeta marina,Adult,Female,NA,NA,NA,RespirationRate,38.18160124090205,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,28.8,NA,NA,NA,0.058667,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25107,31,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Neocalanus plumchrus,Unknown,Unknown,NA,NA,NA,RespirationRate,2.1351553325504433,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,6.7,NA,NA,NA,0.28101,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25109,32,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Neocalanus plumchrus,Unknown,Unknown,NA,NA,NA,RespirationRate,1.8509127789046653,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,10.1,NA,NA,NA,0.35496,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_25111,33,Ikeda1970,NA,Brun2016,10.1594/PANGAEA.862968,Neocalanus plumchrus,Unknown,Unknown,NA,NA,NA,RespirationRate,1.9752728677677966,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,5.8,NA,NA,NA,0.20706,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_24743,1,Ikeda1974,NA,Brun2016,10.1594/PANGAEA.862968,Acartia (Acartiura) longiremis,Unknown,Unknown,NA,NA,NA,RespirationRate,7.547525826689938,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,7.25,NA,NA,NA,0.0042398,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
Pata_24745,2,Ikeda1974,NA,Brun2016,10.1594/PANGAEA.862968,Acartia (Acartiura) longiremis,Unknown,Unknown,NA,NA,NA,RespirationRate,5.936773363676841,NA,NA,Replicate,ulO2/mgC/hr,NA,NA,7.25,NA,NA,NA,0.0040426,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pata2023,https://onlinelibrary.wiley.com/doi/abs/10.1002/lno.12478,NA,NA
